Match,Score,Runs_scored,Balls_faced,Strike_rate,Fours,Sixes,Opposition,Ground,Date,Odi_number,Aggr,Avg,How_Dismissed
210,DNB,-,-,-,-,-,v Sri Lanka,R Premadasa Stadium,31/07/2012,ODI # 3294,6850,51.12,did not bat
211,58,58,38,152.63,8,1,v Sri Lanka,Pallekele International Cricket Stadium,04-08-2012,ODI # 3295,6908,51.17,c †L D Chandimal b S L Malinga
212,113*,113,125,90.4,7,3,v Pakistan,MA Chidambaram Stadium,30/12/2012,ODI # 3314,7021,52.01,not out
213,54*,54,89,60.67,4,1,v Pakistan,Eden Gardens,03-01-2013,ODI # 3315,7075,52.41,not out
214,36,36,55,65.45,1,3,v Pakistan,Arun Jaitley Stadium,06-01-2013,ODI # 3316,7111,52.29,c Umar Akmal b Umar Gul
215,32,32,25,128,0,4,v England,Saurashtra Cricket Association Stadium,11-01-2013,ODI # 3318,7143,52.14,c J E Root b J W Dernbach
216,72,72,66,109.09,7,2,v England,Nehru Stadium (Kochi),15/01/2013,ODI # 3320,7215,52.28,c J E Root b J W Dernbach
217,10*,10,12,83.33,2,0,v England,JSCA International Stadium Complex,19/01/2013,ODI # 3322,7225,52.36,not out
218,19,19,21,90.47,2,0,v England,Punjab Cricket Association IS Bindra Stadium,23/01/2013,ODI # 3327,7244,52.12,c E J G Morgan b J W Dernbach
219,15,15,23,65.21,2,0,v England,Himachal Pradesh Cricket Association Stadium,27/01/2013,ODI # 3329,7259,51.85,lbw b S T Finn
220,27,27,26,103.84,3,0,v South Africa,Sophia Gardens,06-06-2013,ODI # 3363,7286,51.67,c F du Plessis b L L Tsotsobe
221,DNB,-,-,-,-,-,v West Indies,Kennington Oval,11-06-2013,ODI # 3368,7286,51.67,did not bat
222,DNB,-,-,-,-,-,v Pakistan,Edgbaston,15/06/2013,ODI # 3372,7286,51.67,did not bat
223,DNB,-,-,-,-,-,v Sri Lanka,Sophia Gardens,20/06/2013,ODI # 3376,7286,51.67,did not bat
224,0,0,4,0,0,0,v England,Edgbaston,23/06/2013,ODI # 3377,7286,51.31,c J C Tredwell b R S Bopara
225,27,27,35,77.14,1,0,v West Indies,Sabina Park,30/06/2013,ODI # 3380,7313,51.14,b T L Best
226,45*,45,52,86.53,5,2,v Sri Lanka,Queen's Park Oval,11-07-2013,ODI # 3388,7358,51.45,not out
227,19,19,22,86.36,2,0,v Australia,Maharashtra Cricket Association Stadium,13/10/2013,ODI # 3419,7377,51.23,b C J McKay
228,DNB,-,-,-,-,-,v Australia,Sawai Mansingh Stadium,16/10/2013,ODI # 3420,7377,51.23,did not bat
229,139*,139,121,114.87,12,5,v Australia,Punjab Cricket Association IS Bindra Stadium,19/10/2013,ODI # 3421,7516,52.19,not out
230,DNB,-,-,-,-,-,v Australia,JSCA International Stadium Complex,23/10/2013,ODI # 3422,7516,52.19,did not bat
231,25*,25,23,108.69,2,0,v Australia,Vidarbha Cricket Association Stadium,30/10/2013,ODI # 3424,7541,52.37,not out
232,62,62,38,163.15,7,2,v Australia,M Chinnaswamy Stadium,02-11-2013,ODI # 3428,7603,52.43,run out
233,13*,13,7,185.71,3,0,v West Indies,Nehru Stadium (Kochi),21/11/2013,ODI # 3436,7616,52.52,not out
234,51*,51,40,127.5,3,4,v West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,24/11/2013,ODI # 3437,7667,52.88,not out
235,23*,23,23,100,3,0,v West Indies,Green Park,27/11/2013,ODI # 3439,7690,53.03,not out
236,65,65,71,91.54,8,1,v South Africa,Wanderers Stadium,05-12-2013,ODI # 3442,7755,53.12,b D W Steyn
237,19,19,31,61.29,0,0,v South Africa,Kingsmead,08-12-2013,ODI # 3443,7774,52.88,c †Q de Kock b V D Philander
238,TDNB,-,-,-,-,-,v South Africa,SuperSport Park,11-12-2013,ODI # 3444,7774,52.88,did not bat
239,40,40,46,86.95,2,2,v New Zealand,McLean Park,19/01/2014,ODI # 3456,7814,52.8,c †L Ronchi b M J McClenaghan
240,56,56,44,127.27,7,1,v New Zealand,Seddon Park,22/01/2014,ODI # 3458,7870,52.82,c K S Williamson b C J Anderson
241,50,50,60,83.33,2,3,v New Zealand,Eden Park,25/01/2014,ODI # 3462,7920,52.8,c T G Southee b C J Anderson
